Stichwort,Datum
Beamtenrecht: Rechtsfolgen bei verspätetem Dienstantritt nach einer Reise,12.4.1976
Beschlussfassung (Ausschussbeschlüsse),7.6.1976
Zeugenvernehmung durch Untersuchungsausschuss (Zulässigkeit von Fragen),16.6.1976
Rundfunkrecht (Fraktionsproporz bei Wahl zum Rundfunkrat),2.7.1976
Unverrückbarkeit von Ausschussbeschlüssen,7.7.1976
Polizeigesetz (Musterentwurf für Bund und Länder),14.10.1976
Ausschussempfehlung (Abstimmungsgrundlage im Plenum),31.1.1977
Grundständige Gymnasien,31.1.1977
"Mieterhöhung für Altbauwohnungen, Bundesmietengesetz",22.2.1977
"Schulunterricht (Entscheidungsrechte von Schülern und Erziehungsberechtigten), alternative Unterrichtsangebote, Schulpflichtverordnung, Schulgesetz",7.4.1977
Unterverteilung von Amt und Mandat (Möglichkeiten einer künftigen Regelung),13.4.1977
Wahlrecht: Bezirksliste,20.5.1977
"Kuratorium: Freie Universität Berlin, Beschlussfassung",23.5.1977
Allgemeines politisches Mandat (Studentenschaft),4.7.1977
"Bezirksverordnetenversammlung: Ausschüsse, Grundmandat",21.7.1977
Wohnungsaufsichtsgesetz: Entwurf eines Änderungsgesetzes,30.8.1977
Inkompatibilität von Hochschullehrern von Senatorenamt und Abgeordnetenmandat,23.9.1977
Bildungsurlaubsgesetz (Ländervorschriften),26.9.1977
Bezirksverordnete: Aufwandsentschädigung,15.11.1977
Ausschuss: Beteiligung von Beiräten beim Senator für Schulwesen,21.11.1977
Ausschuss: Aktenvorlagepflicht der Exekutive,23.12.1977
Landesabgeordnetengesetz: Entwurf; Einzelfragen; Stand: 15. Febr. 1978,16.2.1978
Berliner Naturschutzgesetz: Entwurf,13.4.1978
Bundesrahmengesetz (Zulässigkeit der Wiederholung von unmittelbar geltenden Vorschriften eines - im ausfüllenden Landesgesetz),11.5.1978
"Landesabgeordnetengesetz: Entwurf; Fragen der Gleichbehandlung, Versorgungsregelungen",23.5.1978
Inkompatibilität von Hochschullehrern,2.6.1978
Landesabgeordnetengesetz: Entwurf; Übergangsregelung,5.6.1978
Personalvertretungsgesetz: Kompetenzübertragung von Einzelpersonalrat an Gesamtpersonalrat (Einberufung und Durchführung von Personalversammlungen),4.7.1978
Hochschulrahmengesetz: Übernahme von Vorschriften in das Berliner Hochschulgesetz,1.9.1978
Schulaufsicht: § 21 (Schulpsychologischer Dienst; Verfassungsmäßigkeit),1.9.1978
Regelstudienzeit (Überschreitung),19.10.1978
Bezirksverwaltungsgesetz: Mitwirkungsrechte in der Bezirksverordnetenversammlung,27.10.1978
Schulverfassungsgesetz: 2. Gesetz zur Änderung (§ 23 Abs. 2; Benennung des Schulleiters),16.11.1978
Inkompatibilität von Hochschullehrern,23.2.1979
Sonderurlaubsverordnung,23.2.1979
Bezirksverwaltungsgesetz: Sitzverteilung in den Jugendwohlfahrtsausschüssen der Bezirksverordnetenversammlungen,22.6.1979
Außerkrafttreten von Verwaltungsvorschriften,25.6.1979
Stadtälteste (Ehrenbezeichnungen),28.6.1979
Verpflichtungsgesetz: Verpflichtung von Bezirksverordneten,24.9.1979
"Besoldung: Gegenüberstellung Land Berlin, Bund, übrige Bundesländer",6.11.1979
Parlamentsgebäude (Hausverbot im Rathaus Schöneberg),27.2.1980
Aufhebungsrecht von Bebauungsplänen durch das Abgeordnetenhaus,4.3.1980
Bildschirmtexterprobungsgesetz: Stellungnahme zum Entwurf,13.3.1980
Bildschirmtexterprobungsgesetz: Kennzeichnung der Bildschirmtextangebote,14.4.1980
Bildschirmtexterprobungsgesetz: Landeskompetenz,17.4.1980
Bildschirmtexterprobungsgesetz: Formulierungsvorschläge,24.4.1980
Ausschusssitzung: Erörterung von Disziplinarangelegenheiten,25.4.1980
Bildschirmtexterprobungsgesetz: Stand der Beratung am 28. April 1980,30.4.1980
Veröffentlichung,14.5.1980
Wissenschaftliches Landesprüfungsamt (Stellung im Ländervergleich),2.6.1980
Öffentlicher Gesundheitsdienst (Aufgabenstellung),18.6.1980
Ausbildung (von Sozialarbeitern und Sozialpädagogen; Entlastung von Praxisanleitern),29.8.1980
Indemnität: Weitergabe Kleiner Anfragen an die Presse,15.10.1980
Abgeordnetenhaus: Aufhebungs- und Änderungsrecht bei Verordnungen,23.10.1980
Bezirksverordnetenversammlung: Wahlrecht für Ausländer,28.10.1980
Abwahl (von Senatoren und Landesministern),25.11.1980
Senatsmitglied: Mitgliedschaft in Verwaltungsräten,5.12.1980
Rechnungsprüfungsausschuss (Besprechung von Feststellung des Rechnungshofes),26.1.1981
Besoldungsrecht (Fehlentwicklungen),17.2.1981
Ausschusssitzung: Ordnungsbefugnisse des Ausschussvorsitzenden,1.6.1981
Senatorenamt: Vereinbarkeit mit Mitgliedschaft in anderer Landesregierung,3.6.1981
Geheimhaltung: Verletzung durch Abgeordnete,15.7.1981
Versammlungsgesetz: § 16 und Referentenentwurf eines Bannmeilengesetzes,28.8.1981
Beamtenrecht: örtlicher Sonderzuschlag für Berlin,13.10.1981
Kompetenzen des Abgeordnetenhauses (Verbot von Kriegsspielzeug),14.10.1981
Selbstbefassungsrecht der Ausschüsse,8.1.1982
Datenschutzbeauftragter (Stellungnahme zum Krebsregister),18.1.1982
"Ausschuss für Vermögensverwaltung, Vertretungsregelung",19.1.1982
Jugendwohlfahrtsgesetz und Kita-Kostenbeteiligung,4.2.1982
Abgeordnetenhaus: Arbeitszeitregelung für Mitarbeiter der Verwaltung,16.4.1982
Bezirksverordnetenversammlung: Einrichtung von Ausländerausschüssen,30.4.1982
Berliner Kerngebiete (Ausschluss gewerblicher Nutzung),4.5.1982
Lehrer: befristete Besetzung von Stellen,26.5.1982
Berliner Hochschulgesetz: Novellierung; 2. Änderungsgesetz,10.6.1982
Haushaltsplan: vorläufige Ermächtigung zu Ausgaben,20.8.1982
Bundesratsangelegenheiten (Informations- und Beteiligungsrechte der Landesparlamente),30.8.1982
"Aktiengesellschaft: Beteiligung des Landes Berlin, parlamentarische Kontrolle",8.11.1982
Disziplinarverfahren: Gegenstand der Selbstbefassung gemäß § 21 Abs. 5 GO,9.11.1982
Ausschuss: Sitzverteilung,15.11.1982
Ausschusssitzung: Einberufung durch den Vorsitzenden,9.12.1982
Abgeordnetenhaus: Wahl der Berliner Bundestagsabgeordneten,14.1.1983
"Beweiserhebung von Untersuchungsausschüssen, Zustimmung des Präsidenten",23.2.1983
Straffälligkeit (von Ausländern),23.2.1983
Fraktionen: Rotationsprinzip,25.2.1983
Zweckentfremdung von Wohnraum,8.3.1983
Datenschutz: Verankerung in der Verfassung von Berlin,30.3.1983
"Rücktritt (eines Senatsmitglieds, kommissarische Wahrnehmung der Amtsgeschäfte)",25.4.1983
Beamte: Einsatz bei den Fraktionen des Abgeordnetenhauses,29.7.1983
Ausländer: Wahlrecht zu den Bezirksverordnetenversammlungen,15.8.1983
Abgeordnetenhaus: Kompetenz für Einzelfallentscheidung,31.8.1983
Abgeordnete: strafrechtliche Konsequenzen bei Verletzung von Geheimhaltungsvorschriften,22.9.1983
Abgeordnete: Kontrollbefugnisse für Abgeordnete,30.9.1983
Abgeordnete: Sanktionen und Disziplinarmaßnahmen gegen Abgeordnete,10.10.1983
Fraktionen: dienstrechtliche Stellung von Fraktionsmitarbeitern,4.11.1983
Enquete-Kommission: Unterrichtung von Presse und Rundfunk,5.1.1984
Ausschussberatung (Besprechung einer Vorlage zur Kenntnisnahme),23.1.1984
Wohnungsaufsichtsgesetz: Wärmedämmung,1.2.1984
Bundesausbildungsförderungsgesetz,3.2.1984
Weisungsrecht der Hauptverwaltung (in Personalangelegenheiten von Lehrern),7.2.1984
Krankenhaus Zehlendorf (fehlerhafte Planung und Bauausführung),4.4.1984
Einschränkung von Nebentätigkeiten im Berliner Landesdienst,9.4.1984
Ausländerrecht (Abschiebung nach dem Ausländergesetz),25.4.1984
Gesetz über das Kabelpilotprojekt,19.6.1984
Landeswahlgesetz: § 26 Abs. 1 (Inkompatibilität auf Landesebene; Beschlussempfehlung Innenausschuss),22.6.1984
