Stichwort,Datum
Überarbeitung der Verfassung (Zulässigkeit einer punktuellen Verfassungsänderung vor Überarbeitung der Verfassung),21.2.1994
Bedürfen die Mitglieder der G 10-Kommission für eine Aussage vor einem Untersuchungsausschuss einer Aussagegenehmigung?,28.2.1994
Bundesversammlung,2.3.1994
Bezirkliche Frauenbeauftragte,25.3.1994
Bundes-Immissionsschutzgesetz (Verhältnis zum Gaststättengesetz; Grundlage für eine auf ein bestimmtes Gebiet beschränkte Sperrzeitfestsetzung für Schankvorgärten),25.4.1994
Berliner Hochschulgesetz: § 59 Abs. 1 Satz 3 (Zahl der nebenberuflichen Frauenbeauftragten eines Fachbereichs),4.5.1994
Abgeordnetengesetz (des Bundes): § 49 (Geheimhaltungspflicht der Fraktionsangestellten),17.5.1994
"Beschlagnahme (bei einem Abgeordneten, Zulässigkeit auf Grund der allg. Genehmigung gemäß Anlage 5 der GO)",26.5.1994
Entwurf zum Ausführungsgesetz zum Kinder- und Jugendhilfegesetz,31.5.1994
Studienstiftung des Abgeordnetenhauses von Berlin: Gründung,6.6.1994
"Abgeordnetenentschädigung: Kürzung der Entschädigung der Bundestagsabgeordneten um ein Dreihundertfünfund- sechzigstel (§ 11 Abs. 3 AbgG, eingeführt durch Art. 23 Nr. 1 Pflege-Versicherungs- gesetz)/Grund für eine entsprechende Änderung des (Berliner) LAbgG?",1.8.1994
Einkommensangleichung im öffentlichen Dienst Berlins (Grund für eine Kündigung der Beteiligung Berlins an VBL durch die Anstalt?),8.8.1994
"Einigungsvertrag: Vereinbarkeit der Überleitungsregelung des § 7 Abs. 1, 2. ZwVbVO (befristete Weitergeltung günstigeren alten Rechts mit -)",6.9.1994
Lehrereinstellungskompetenz (Verlagerung von Bezirken auf Hauptverwaltung/Verfassungsmäßigkeit),6.10.1994
"Inkompatibilität von Hochschullehrern Vorschlag für die Formulierung einer Übergangsvorschrift zur Verhinderung des Eintritts der Inkompatibilität bei den Mitarbeitern des Landesschulamtes, die bis zu seiner Errichtung in einem Bezirk tätig sind",11.10.1994
Landesschulamt: Anmerkungen zu dem Entwurf eines Gesetzes über die Neuorganisation der Schulaufsicht und die Errichtung eines - vom 1. September 1994,18.10.1994
Beratende Funktion (von Ausschüssen und Beiräten in der Exekutive/Gesetzesvorbehalt?),2.11.1994
Lehrer: Versetzung aus dem Ost- in den Westteil Berlins/Clearingstelle bei der Senatsschulverwaltung/Verfassungsmäßigkeit der Zusammensetzung,2.11.1994
Privatschulgesetz: staatliche Pflicht zur Förderung,21.11.1994
"Geheimhaltungspflicht: Schweigepflicht, Geheimschutzordnung",28.11.1994
Brandenburg: Gemeinsames Tagen von Untersuchungsausschüssen,14.12.1994
"Weisung (der Senatsverwaltung für Schule, im Rahmen eines Schulversuchs eine weitere Klasse einzurichten)",9.1.1995
Entwurf eines Gesetzes zur Änderung des Landesabgeordnetengesetzes und des Fraktionsgesetzes,26.1.1995
Wahlrechtsänderung (nach Beginn der Kandidatenaufstellung/Vereinbarkeit mit Wahlrechtsgleichheit?),22.2.1995
Wahlvorschlagsrecht der Fraktionen (bei der Wahl von vier bzw. fünf Abgeordneten in die Finanz- und Wirtschaftskommission der Freien Universität bzw. Humboldt-Universität,3.3.1995
Aufnahmekapazität (im Studiengang Humanmedizin; Studienplatzabbau),27.4.1995
"Frauenvertreterin: Beteiligung am Auswahlverfahren, Landesgleichstellungsgesetz",9.6.1995
"Fiktion einer bestimmten Mandatszeit der ehemaligen Mitglieder der Stadtverordnetenversammlung, Vereinbarkeit der Regelung in Drs. 12/5469 mit Art. 3 Abs. 1 GG",12.6.1995
Grundgesetz: Art. 3 Abs. 1 (Ungleichbehandlung von Sonderschulen für Behinderte und anderen Privatschulen),13.6.1995
Ausscheiden aus einem Untersuchungsausschuss,12.9.1995
Wiederholung einer Abstimmung (Zulässigkeit),18.9.1995
Sperrvermerk (im Haushaltsplan),20.11.1995
Verfassung von Berlin vom 23. November 1995 Art. 41 Abs. 2 Satz 1 (Wahl des Präsidenten und der Vizepräsidenten),27.11.1995
Wahlvorschlagsrecht der Fraktionen bei der Besetzung der Vizepräsidentenstellen,6.12.1995
Landkreise (Kommunale Selbstverwaltung),11.1.1996
Stärkeverhältnis der Fraktionen im Ausschuss für Verfassungsschutz,29.1.1996
Ordnungsmaßnahmen des Präsidenten in Plenarsitzungen,1.2.1996
parlamentsspezifischer Datenschutz,8.2.1996
"Wahl der Vizepräsidenten im Abghs, Beschluss des VerfGH v. 2.2.96",8.2.1996
Stärkeverhältnis der Fraktionen im Ausschuss für Verfassungsschutz,12.2.1996
Bindungswirkung der Entscheidungen des VerfGH (hier: Unzulässigkeit der Nichtzulassung eines Vorschlags für die Vizepräsidentenwahl),26.2.1996
Verfassungsschutzausschuss: Sicherheitsüberprüfung der Mitglieder,27.2.1996
Parlamentarisches Aktenvorlagerecht,8.3.1996
Abstrakte Normenkontrolle,25.3.1996
Prüfen auf Verfassungswidrigkeit von Anträgen,6.8.1996
Abgeordnetenzahl und Einwohnerzahl in Bund und Ländern,7.8.1996
Anforderungen an die Formulierung von Anträgen im Bund und in den Ländern (Zulässigkeit von Polemik?),12.8.1996
Wahlrecht: Überhangmandate,19.8.1996
Geschäftsordnung des Abgeordnetenhauses: Befassung mehrerer Ausschüsse,24.10.1996
Chancengleichheit der Fraktionen bei der Wahl von Ausschüssen,18.11.1996
Vorbehalt des Gesetzes (Zusammenlegung von Krankenhausbetrieben),20.12.1996
Haushaltsstrukturgesetz 1996 (Personaleinsparungen),27.1.1997
Bezirkshaushaltspläne,4.2.1997
Untersuchungsausschuss: Beweisaufnahme zu Vermögensangelegenheiten,10.2.1997
Wiederholung einer Abstimmung (Zulässigkeit),13.2.1997
Amtszeit der Kuratorien und ihrer Mitglieder,19.2.1997
Parlamentsbeschlüsse: Auflagenbeschlüsse des Abgeordnetenhauses zum Haushaltsplan,25.2.1997
Öffentlichkeit der Beweiserhebung der Untersuchungsausschüsse,27.3.1997
Schlichter Parlamentsbeschluss (Stiftung und Verleihung von Titeln usw. durch -),7.4.1997
Abgeordnete: Überprüfung auf eine Tätigkeit für das MfS der ehemaligen DDR/Voraussetzungen/ Vorschlag einer Regelung im Landesabgeordnetengesetz,5.5.1997
Besetzung von Unterausschüssen,6.5.1997
Besoldung der Staatssekretäre,7.5.1997
Bürgermeisterverfassung,28.5.1997
Abgeordnete: Auskunftsanspruch gegenüber polizeilichem Einsatzleiter?,15.7.1997
"Bannmeilenregelungen (Synopse der in Bund und Ländern bestehenden Normen, Erfahrungen bei ihrer Anwendung, Gründe für ihre Aufhebung oder den Verzicht auf ihre Einführung; Verfassungsmäßigkeit; Zweckmäßigkeit)",21.7.1997
Gebührenerhebung bei personalrechtlich veranlassten Untersuchungen,25.7.1997
Inkompatibilität von Hochschullehrern: Synopse,1.8.1997
Auskunftsrechte der Abgeordneten,20.8.1997
"Fusion der Universitätsklinika ""Rudolf Virchow"" und Charité",4.9.1997
Geltungsdauer von Gesetzen,4.9.1997
Aufzüge (Verbot von Versammlungen und Aufzügen in Grünanlagen; Gesetzgebungsbefugnis Berlins),11.9.1997
Befangenheit von Abgeordneten,12.9.1997
Schriftliche Anträge - im Sinne des Artikels 34 VvB/Reichweite des Begriffs,19.9.1997
Landeskommission für die Struktur der Universitäten,1.10.1997
Sportförderungsgesetz: Änderung gem. Art. IX EHStrG 98,12.11.1997
Gesetz gegen Wettbewerbsbeschränkungen,14.11.1997
Ministerium für Staatssicherheit der ehemaligen DDR: Richtlinien zur Überprüfung von Abgeordneten,2.12.1997
Berliner Hochschulgesetz: § 7b Abs. 2 Satz 1 Nr. 2 (Wahl von den Kuratorien angehörenden Abgeordneten in die Landeskommission für die Struktur der Universitäten),4.12.1997
Zulässigkeit von Stimmrechtsbeschränkungen für Professoren in Hochschulgremien,8.12.1997
Zweckbindung von Sportanlagen,10.12.1997
"Rundfunk, Unvereinbarkeit nach § 12 des Staatsvertrages über die Zusammenarbeit zwischen Berlin und Brandenburg im Bereich des - (Insolvenzsicherung)",22.12.1997
Übergangsgeld für Abgeordnete,21.1.1998
Wiederholung einer Abstimmung (Zulässigkeit),28.1.1998
Parlamentarische Kontrolle von Vertretern Berlins in Verwaltungs- und Aufsichtsräten,5.2.1998
Beteiligung des Landes Berlin an privaten Unternehmen,9.2.1998
Geschäftsordnung des Abgeordnetenhauses: § 51 Abs. 7 Satz 3 (Anforderung an Spontane Frage),11.2.1998
Änderungsanträge: Erfordernis des Sachzusammenhangs mit Ursprungsantrag,11.3.1998
Einzelabstimmungen bei Verfassungsänderung (Zweidrittelmehrheit notwendig?),19.3.1998
Leistungs- und Verantwortungszentren,1.4.1998
Arbeitsrecht: Konsequenzen bei Petitionen,7.5.1998
"Geschäftsordnung des Abgeordnetenhauses: § 14 Abs. 2 (Recht des Präsidenten, offensichtlich geschäftsordnungswidrige Anträge nicht zur Abstimmung zu stellen)",8.6.1998
Hochschulbeiträge (für Studenten aus anderen Bundesländern),12.6.1998
Berliner Hochschulgesetz: § 7a (Umsetzung der Erprobungsklausel),16.6.1998
Landeshaushaltsordnung: § 47 Abs. 2 (Wegfallvermerke),24.6.1998
Schulleiter: Ausschreibung freier Stellen,24.6.1998
Schulverfassungsgesetz: § 23 Abs. 1 (Ausschreibung von Schulleiterstellen),24.6.1998
Auskänder im öffentlichen Dienst,14.7.1998
"Krankenhausfinanzierungsgesetz (§ 1, Grundsatz)",16.7.1998
Schulverfassungsgesetz: § 23 Abs. 3 (Benennung des Schulleiters; Anwendungsbereich),20.7.1998
Berliner Naturschutzgesetz: Duldungspflicht des Eigentümers,13.8.1998
Sportförderung,18.8.1998
Verwaltungsvorschriften: Bindungswirkung (- gegenüber dem Abgeordnetenhaus),18.8.1998
Auskunftspflicht gegenüber Enquete-Kommissionen,25.8.1998
Rückmeldegebühren an Hochschulen,23.9.1998
Schranken des Urheberrechts,23.9.1998
Semesterticket,6.10.1998
Kleine Anfragen: Informationspflicht des Senats,9.10.1998
Überwachung der Telekommunikation,9.10.1998
Reisekostenvergütung (bei Dienstreise eines Abgeordneten mit dem eigenen PKW),19.10.1998
Lesung (von Gesetzen): Zeitlicher Abstand zwischen erster und zweiter Lesung,5.11.1998
Geschäftsordnungsautonomie: Rechtsform der Regelungen,6.11.1998
Personenbeförderungsgesetz: § 22 (Beförderungspflicht),12.11.1998
Rahmenübereinkommen zum Schutz nationaler Minderheiten,12.11.1998
Zweitwohnungsteuergesetz,10.12.1998
Berliner Hochschulgesetz: § 61 Abs. 1 (Aufgaben des Akademischen Senats),15.12.1998
Silvesterfeierlichkeiten 1999/2000,18.12.1998
Sekten und Psychogruppen/Psychomarktanbieter,22.12.1998
Integration behinderter Schüler,6.1.1999
Rückkehrrecht des Arbeitnehmers zum Land Berlin bei Privatisierung,19.2.1999
"Polizeigewalt des Präsidenten des Abgeordnetenhauses (Bedeutung, Umfang)",22.2.1999
Zweites Gesetz zur Reform der Berliner Verwaltung (Auswirkungen auf Zuständigkeitsregelungen zu Gunsten der Hauptverwaltung außerhalb von AZG und ASOG),25.2.1999
Lebenszeitprinzip bei Beamten,1.3.1999
Beamtenrecht: antragslose Einstellungsteilzeit,13.3.1999
Einstellungsteilzeit (im Beamtenrecht),16.3.1999
Bürgerbegehren,22.3.1999
Lehrerbildungsgesetz: § 11a (Verteilung von Ausbildungsplätzen),24.3.1999
Berliner Hochschulgesetz: § 79a Abs. 3 (Stellenausschreibung für Dienstleistungsunternehmen),31.3.1999
Kuratorium: Vorsitzender gemäß der Teilgrundordnung der FU,12.5.1999
Untersuchungsausschuss: Bindung an die im Untersuchungsauftrag festgelegte Reihenfolge der Fragen,17.5.1999
Untersuchungsausschuss: Vernehmung von Zeugen zu sämtlichen Sachverhalten,20.5.1999
Untersuchungsausschuss: Schutz des Fernmeldegeheimnisses,27.5.1999
Verwaltungsreform-Grundsätze-Gesetz: Einrichtung von Leistungs- und Verantwortungszentren in den Bezirksämtern,15.6.1999
Informationsrecht der Abgeordneten (Anspruch auf Einsichtnahme in Vorlagen auf Zustimmung des Abgeordnetenhauses zu Vermögensgeschäften),17.6.1999
Verfassungsgerichtshof: Wahl des Präsidenten (Verbot der Wiederwahl),7.7.1999
Schülerstreik,18.8.1999
Aussagegenehmigung für einen (ehemaligen) V-Mann im Ausschuss für Verfassungsschutz,2.9.1999
Schwerbehindertengesetz,6.9.1999
Beweiserhebungspflicht der Untersuchungsausschüsse,15.9.1999
Hochschulen: private Unternehmen,21.9.1999
Verwaltungsreform-Grundsätze-Gesetz: § 2 Abs. 4 (Aufgaben und Status des Steuerungsdienstes),23.9.1999
"Alkoholkonsum auf öffentlichen Straßen, Betteln, Berliner Straßengesetz",15.11.1999
Brandenburg:Gemeinsame Enquete-Kommission mit Berlin,6.1.2000
Rechstsverbindlichkeit von Parlamentsbeschlüssen,9.3.2000
Untersuchungsausschussgesetz: § 10 Abs. 2 (Entwurf eines Änderungsgesetzes),14.3.2000
Zuwendungen an Abgeordnete und Regierungsmitglieder,14.3.2000
Grundgesetz: Art. 14 (Anforderungen an die Verfassungsmäßigkeit von Inhalts- und Schrankenbestimmungen,6.4.2000
Amtshaftungsanspruch gegenüber dem Gesetzgeber,10.4.2000
"Grundgesetz: Art. 3 Abs. 1 (kein Anspruch auf ""Gleichbehandlung in der Zeit"")",10.4.2000
Landesfischereischeingesetz,10.4.2000
Rollstuhlfahrer,10.4.2000
Vertragsgesetz bei rückwirkenden Gesetzen,10.4.2000
Aufhebung der Immunität (Synopse von Regelungen sowie Entscheidungspraxis einiger Parlamente),3.5.2000
Einbürgerung (Möglichkeit der Rücknahme),30.5.2000
"Ausführungsgesetz zur Verwaltungsgerichtsordnung, Änderung gemäß Drs. 14/225 (Wegfall des Widerspruchsverfahrens bei bestimmten ausländerrechtlichen Entscheidungen, Verfassungsmäßigkeit)",8.6.2000
Richtlinien über die Höhe der Lehrauftragsentgelte,27.6.2000
Vergaberecht: Grundlagen,25.7.2000
"Anstalten des öffentlichen Rechts: Veranschlagung von Zuschüssen im Haushaltsplan, Studentenwerk Berlin",18.8.2000
Wahlrecht für Nicht-EU-Bürger nach Änderung des Grundgesetzes,25.8.2000
"Bezirksverordnete: Akteneinsichtsrecht, Auskunftsrecht",15.9.2000
Landesgleichstellungsgesetz: Ausdehnung des Geltungsbereichs auf privatrechtlich organisierte Unternehmen im Besitz Berlins,10.11.2000
Anpassungsgesetz Jugend,29.11.2000
Vergaberecht: vergabefremde Kriterien,29.11.2000
Untersuchungsausschuss: Aussageverweigerungsrecht eines Zeugen,5.1.2001
Kindertagesbetreuungsgesetz,18.1.2001
Jugendverbände (staatliche Förderung),15.2.2001
Gesellschaft mit beschränkter Haftung: Satzungsänderung,23.2.2001
Landesgleichstellungsgesetz: Sicherung der Geltung bei Veräußerung der Anteilsmehrheit an privatisierten Einrichtungen,23.2.2001
Untersuchungsausschuss: Ausschluss einzelner Personen,12.3.2001
Auflagenbeschlüsse aus Anlass der Haushaltsberatungen,21.3.2001
Informationspflicht des Senats über Bebauungspläne,6.4.2001
Bäder-Anstaltsgesetz: Schließung von Schwimmbädern,17.5.2001
Beamte: Kürzung der Besoldung durch Gesetz,30.5.2001
Landeswahlordnung (§ 80a: Fristen bei vorzeitiger Beendigung der Wahlperiode),25.6.2001
Planreife von Bebauungsplänen,27.6.2001
Untersuchungsausschuss: Beweisbeschlüsse (formelle und inhaltliche Anforderungen),28.6.2001
Fraktionen: Prüfung der Personalausgaben durch den Rechnungshof,20.7.2001
Untersuchungsausschuss: Parteispenden,10.10.2001
Redezeit: Aufteilung auf die Fraktionen,12.10.2001
Geheimhaltungspflicht: Verletzung durch Untersuchungsausschuss,17.10.2001
Bundessozialhilfegesetz: § 76 Abs. 2 Nr. 5 (Kinderfreibetrag),24.10.2001
Sexuelle Belästigung am Arbeitsplatz (Beschäftigtenschutzgesetz),4.12.2001
Sperrklausel: Ermessensentscheidung,7.12.2001
"Beihilferecht des Bundes, gesetzliche Krankenkassen",13.12.2001
"Laufbahnrecht, Beurteilungsvorschriften für die Beamten des Verwaltungsdienstes (AV BVVD)",14.2.2002
"Abgeordnetenentschädigung: Bindung an einen Index, Staffeldiät",27.2.2002
Bankgesellschaft Berlin AG (Risikoabschirmung),12.3.2002
"Parlamentarisches Budgetrecht, Vorläufige Haushaltsführung",23.4.2002
Befristung von Arbeitsverträgen,3.5.2002
"Auswahlverfahren, Stellenausschreibung",17.5.2002
Untersuchungsausschussgesetz: Entwurf,23.5.2002
Schulgeld (von Privatschulen erhoben),19.6.2002
Berlin-Brandenburgische Akademie der Wissenschaften (BBAW),18.7.2002
Anteilstreuhandschaften (Offenlegung bei Presseunternehmen),10.10.2002
Äquivalenzprinzip: Anwendung auf Straßenbaubeiträge,25.10.2002
Studentenschaft: sog. Brückenschlagstheorie,19.11.2002
"Budgetrecht (des Parlaments), Haushaltssperre",20.11.2002
"Betäubungsmittelgesetz (§ 1 Abs. 1, § 3), Cannabis (Verwendung als Arzneimittel)",12.12.2002
Berliner Hochschulgesetz: § 49 (Verlängerung der Amtszeit der Gremienmitglieder ) – Drs. 15/970 -,7.1.2003
Studienstiftung des Abgeordnetenhauses von Berlin: leistungsabhängige Stipendiumsvergabe (Formulierungsvorschlag f. Richtlinie),12.2.2003
Studienstiftung des Abgeordnetenhauses von Berlin: Kündigung der Zusammenarbeit mit der FU (Stipendienvergabe),24.3.2003
Ausschuss: Artikel 45 Anspruch auf Beschlussfassung und „aliud“,4.4.2003
Vertraulichkeit: Selbstbindung der Verwaltung,9.4.2003
Charité,19.5.2003
Treuhandkommanditist,23.5.2003
Berliner Hochschulgesetz: § 4 (Aufgaben der Hochschulen),23.6.2003
Berliner Straßenreinigungsgesetz,23.6.2003
Steuergesetzgebungkompetenz des Landes,23.6.2003
Vertragsgesetz bei der Umsetzung von EU-Richtlinien,25.6.2003
Petitionsausschuss: Selbstbestimmungsrecht,29.6.2003
Feuerbestattung,10.7.2003
Absenkung des Mindestwahlalters für BVV-Wahlen,10.7.2003
Allgemeiner Gleichheitssatz: im Zusammenhang mit dem Entwurf zum „Stellenpoolgesetz“ und dem LGG,11.8.2003
Pfändung von PKW mittels Parkkralle,15.8.2003
Föderalismusreform (Auflösung der Rahmengesetzgebungskompetenz),29.8.2003
"Aktiengesellschaft: Beteiligung des Landes Berlin, parlamentarische Kontrolle",11.9.2003
Petitionsinformationsanspruch des Ausschusses,11.9.2003
Petitionsausschuss: Auskunftsrecht über dienstrechtiche Maßnahmen gegen Mitarbeiter der Verwaltung,25.9.2003
Disziplinarverfahren: Auskunfsrecht des Petitionsausschusses über Disziplinarverfahren,26.9.2003
Verfassung von Berlin vom 23. November 1995 Art. 33 (informationelles Selbstbestimmungsrecht),29.9.2003
Medienrat: Wahl,10.10.2003
Mehrheit der gesetzlichen Mitglieder des Abgeordnetenhauses,10.10.2003
"Behindertenrechtskonvention, Zwangsbehandlung, Unterbringung",10.10.2003
Ausländergesetz,29.10.2003
Bachelor- und Master-Studiengänge,17.11.2003
"Strukturfonds(EFRE, ESF)",25.11.2003
Tarifvertrag vom 31. Juli 2003: Anwendung auf Beschäftigte nach § 19 Abs. 2 BSHG,10.12.2003
Nebenhaushalte,7.1.2004
"Personenbeförderungsgesetz: §§ 79 –90 Mitbestimmuing (im öffentlichen Dienst), Demokratieprinzip",20.1.2004
Parlamentsinformationsgesetz,5.2.2004
Personalvertretungsgesetz des Landes Berlin,23.3.2004
"Investitionsbegriff, verfassungsrechtlich und haushaltsrechtlich",1.4.2004
Verhaltensregeln für Abgeordnete: Verschärfung,2.4.2004
Akteneinsichtsrecht (für Abgeordnete),4.5.2004
Verhaltensregeln für Abgeordnete: Interessenverknüpfungen (mandatsbezogene),26.5.2004
Fremdenverkehrsabgabe,4.6.2004
Wesentlichkeitstheorie: Aufgaben der Ordnungsämter,9.6.2004
Bagatellsteuern,18.6.2004
"Clearingstelle (bei der Senatsschulverwaltung) für die Versetzung von Lehrern aus dem Darlegungspflichten des Gesetzgebers, Überschreitung der Kreditgrenzen",16.8.2004
Deutsches Richtergesetz (§ 3:Richter im Dienst des Bundes oder eines Landes),16.8.2004
"Kreditobergrenze, Überschreitung wegen Haushaltsnotlage",16.8.2004
Bürgerbegehren,31.8.2004
Geschäftsordnung des Abgeordnetenhauses: Anhörungen (§ 28 GO),20.9.2004
Eigenkapitalbildung durch Verzicht auf Rückzahlung von Landeskrediten (Vivantes GmbH),28.9.2004
Geschäftsordnungsautonomie: § 53 Abs. 2 (Weitergabe vertraulicher Unterlagen an Beauftragte),1.10.2004
Verbrauch- und Aufwandsteuern - örtliche Verbrauch- und Aufwandsteuern (Übersicht),22.10.2004
Finanzplanung: jährliche Fortschreibung,25.10.2004
Immatrikulations-und Rückmeldegebühren,9.11.2004
"Satzungsautonomie der Hochschulen, Bachelor- und Master-Studiengänge",10.11.2004
Personalvertretungsgesetz: Amtszeitverlängerung Personalräte Charité,22.11.2004
Bindungswirkung von Gerichtsentscheidungen,23.11.2004
Vorläufige Haushaltswirtschaft,10.12.2004
Bürgerbegehren,14.12.2004
Untersuchungsausschuss: Gewaltenteilungsprinzip als Schranke der Beweiserhebung,6.1.2005
"Grundgesetz: Art. 3 Abs. 1 (Kopftuchverbot, Religionsfreiheit)",12.1.2005
"Rundfunkgebührenstaatsvertrag, Datenerhebung durch GEZ",14.1.2005
Studiengebühren,7.2.2005
Äquivalenzprinzip,15.2.2005
Studiengebühren für Landeskinder,6.4.2005
Geschäftsordnung des Abgeordnetenhauses: § 25 III Funktion der Tagesordnung,12.4.2005
Abgeordnete: Ausschluss von der Abstimmung bei Selbstbetroffenheit,20.4.2005
Personenbeförderung: Ausschreibung von Beförderungsleistungen,28.4.2005
Versammlungsrecht: keine Behandlung von Sachthemen unter diesem Punkt,12.5.2005
"Untersuchungsausschuss: Organstreitverfahren zur Wahrung von Minderheitenrechten (Antragsteller, Antragsgegner)",18.5.2005
Spielbank Berlin (Kompetenz für Zulassungsgesetz),21.5.2005
Steuerberatungsgesellschaft,23.5.2005
Kindertagesförderungsgesetz (Entwurtf),3.6.2005
Verhaltensregeln für Abgeordnete: Offenlegung von Beteiligungen,1.8.2005
Videoaufzeichnungen (als Daten im Sinne des BlnDSG),5.8.2005
Universitätsmedizingesetz (Charité),2.11.2005
"Haushaltsgesetz2006/2007, § 3 –Kreditermächtigung",14.11.2005
Berliner Universitätsmedizingesetz: Vereinbarkeit mit dem Deutschen Corporate Governance Kodex,18.11.2005
Sonderabgaben: Umfang der Darstellung im Haushaltsplan,18.11.2005
Fehlfunktion der Abstimmungsanlage,25.11.2005
Landes-Immissionsschutzgesetz,30.11.2005
Rechtsverordnungen: hinreichende Bestimmtheit der Ermächtigung,30.11.2005
"Risikoabschirmung: Erwerb von Fondsanteilen, Berücksichtigung im Haushalt",14.12.2005
Anstalten des öffentlichen Rechts: Insoslvenzfähigkeit,11.1.2006
Vorsorgeuntersuchungen bei Kindern,26.1.2006
Misstrauensvotum,1.2.2006
Regierungsbildung: Bund-Länder Vergleich,1.2.2006
Versorgungsanstalt des Bundes und der Länder (VBL): Ausscheiden eines Beteiligten,24.2.2006
Sondervermögen Immobilien des Landes Berlin (SILB),13.3.2006
Untersuchungsausschuss: Aufhebung eines Geheimschutzgrades,24.3.2006
Satzungsautonomie der Hochschulen und Masterstudiengänge,11.4.2006
Vergaberecht: ÖPNV,27.4.2006
Vereinbarkeit von § 5 Abs- 2 LHO mit dem Gewaltenteilungsgrundsatz,25.9.2006
"Open-Source-Software, eingeschränkte Ausschreibung, Vergaberecht",12.10.2006
Änderungsantrag: isolierte Ausschussüberweisung nur bei selbständigem Änderungsantrag,17.10.2006
Abgeordnetenhaus: Vergabe von Räumen,31.10.2006
Privatrechtliches Handeln der Verwaltung,31.10.2006
Geschäftsordnung des Abgeordnetenhauses: § 9 vom Abgeordnetenhaus vorzunehmende Wahlen,12.12.2006
Verfassungswidrigkeit wegen fehlender extremer Haushaltsnotlage,13.12.2006
Verfassungsgerichtshof: Verbot der Wiederwahl,9.1.2007
Verfassung von Berlin vom 23. November 1995 Art. 44 Abs. 1 Satz 2 und Art. 49a – Einschränkungen der Öffentlichkeit von Ausschusssitzungen,2.2.2007
EG-Vertrag: Art. 12 (Diskriminierungsverbot),7.2.2007
Grundgesetz: Art. 3 Abs. 1 (Landeskinderklausel bei Studiengebühren),7.2.2007
Präsidiales Hausrecht (Rauchverbot),19.3.2007
Haushaltsüberschreitung: durch Verstoß gegen Haushaltsrecht,21.3.2007
Treuhand (treuhänderische Tätigkeit),6.6.2007
Landesgleichstellungsgesetz § 7 Abs. 1 LGG,21.6.2007
Versorgungsanstalt des Bundes und der Länder (VBL): Finanzierung durch Umlage und Sanierungsgelder,5.7.2007
Verfassung von Berlin vom 23. November 1995 Art. 45 (Abgeordnetenrechte),19.7.2007
Grundgesetz: Art. 6 Abs. 2 (Eingriff in elterliches Erziehungsrecht durch vorschulische Sprachförderung),14.9.2007
Sondervermögen Immobilien des Landes Berlin (SILB),17.9.2007
Akteneinsichtsrecht (für Abgeordnete),29.10.2007
Vergaberecht: Schadensersatzansprüche bei Aufhebung einer Ausschreibung,31.10.2007
Nachtragshaushalt (Geltung der Haushaltsgrundsätze),14.11.2007
Berliner Wasserbetriebe,5.12.2007
Bezirksfinanzen,28.12.2007
Bezirkliche Selbstverwaltung,4.1.2008
Dienstvereinbarungen,17.1.2008
Exekutivrechtssätze (Geltung für Abghs.),17.1.2008
Vergaberecht: Zuverlässigkeit der Bieter,18.1.2008
Senat: Anwesneheitsrecht in den Sitzungen des Abgeordnetenhauses und seiner Ausschüsse,12.2.2008
Europarechtliche Anforderungen an die Ämterstruktur im Veterinär- und Lebensmittelbereich,18.2.2008
Aktenvorlagepflicht des Senats gegenüber einer Enquete-Kommission,26.2.2008
Öffentlicher Personennahverkehr,31.3.2008
"Vergaberecht: Direktvergabe, Inhouse-Vergabe",31.3.2008
Baulandpreise der DDR,23.4.2008
Denkmalschutz und Werbeanlagen,25.4.2008
Vergaberecht: Zulässigkeit des Mindestlohns im Vergabeverfahren,2.5.2008
Radwege: Beleuchtungspflicht,30.5.2008
"Baurecht: Widmung, Entwidmung",7.7.2008
Volkbegehren zu Abgaben,18.7.2008
Nachtragshaushalt,24.7.2008
Bezirksverordnetenversammlung: Kontrolle des Bezirksamts,18.9.2008
Entscheidungsbefugnisse gem. § 12 Abs. 2 BezVG,22.9.2008
Religionsunterricht (staatliche Kontrolle),29.10.2008
Verfassungsrechtliche Stärkung des Rats der Bürgermeister,10.12.2008
Einstein-Stiftung Berlin,30.1.2009
"Ausschreibungspflicht, ÖPP-Projekt, Kartellvergaberecht",15.6.2009
Haushaltsüberschreitung,10.7.2009
"Untersuchungsausschuss: Einsetzung, Zusammensetzung",14.8.2009
Unzulässige Rechtsausübung,14.8.2009
Hochschulfinanzierung (leistungsbasiert),9.11.2009
PsychKG (Gesetz für psychisch Kranke),28.11.2009
Schadensersatzansprüche (Untersuchungsausschuss „Spreedreieck“),30.11.2009
Kinderlärm (Zumutbarkeit),7.12.2009
Kita-Eigenbetriebe,8.2.2010
Verfassung von Berlin vom 23. November 1995 Art. 44 Abs. 4 (Auskunftsanspruch des Abghs),8.2.2010
Grundsätze der Vergabe,17.2.2010
Bundesdatenschutzgesetz,19.4.2010
"Asylverfahrensgesetz, Residenzpflicht",7.5.2010
Haushaltsklarheit (Grundsatz),12.5.2010
Haushaltsplan: Erläuterungen,16.6.2010
Bezügebericht,21.6.2010
Landesbeteiligungen,21.6.2010
Bezirksamt: Aufgaben,25.6.2010
Tempelhofer Feld,31.8.2010
Wirtschaftlichkeitsuntersuchung i.S.d. § 7 Abs. 2 Satz 1 LHO,31.8.2010
Akteneinsichtsrecht (für Abgeordnete),23.9.2010
